Ranking por autor by Ranking geral ,,Video Start,,Videos Completos,,Taxa de videos completos
1.,qcji1ffyt7fw band entretenimento,220726,,113472,,51.4%
,1.,15501209 bacon estraga sobremesa de sabrina,29414,13.3%,17054,15.0%,58.0%
,2.,15501433 1   prova da forca aerea,21133,9.6%,7807,6.9%,36.9%
,3.,15501220 4  avaliacao da prova do chocolate,17499,7.9%,8640,7.6%,49.4%
,4.,15501442 3   prova do chocolate,16703,7.6%,8621,7.6%,51.6%
,5.,15501434 rodrigo faz prova ruim e e eliminado do programa,13153,6.0%,6564,5.8%,49.9%
,6.,15501452 2  avaliacao da prova da forca aerea,12492,5.7%,8911,7.9%,71.3%
,7.,15500203 cqc vai atras de homem que ofendeu haitianos em video na internet,8576,3.9%,3709,3.3%,43.2%
,8.,15500244 ntegra capitulo 79  09/06/2015,7180,3.3%,3029,2.7%,42.2%
,9.,15501203 fernando prepara petit gateau usando receita de jacquin,3105,1.4%,1888,1.7%,60.8%
,10.,15494110 4  avaliacao da prova do frango depenado,2757,1.2%,379,0.3%,13.7%
,11.,15501464 equipe se distrai e queima todo arroz,2537,1.1%,1806,1.6%,71.2%
,12.,15499067 christian pior leva as panicats para a parada gay,2061,0.9%,699,0.6%,33.9%
,13.,"15480588 confira, na integra, o show especial da cantora lais",1778,0.8%,81,0.1%,4.6%
,14.,15500240 ntegra capitulo 78  08/06/2015,1638,0.7%,601,0.5%,36.7%
,15.,15501243 rodrigo tem problema com ovo podre e tem que mudar planos,1596,0.7%,1314,1.2%,82.3%
,16.,15501222 fernando e raul agradam jurados em prova do chocolate,1591,0.7%,1114,1.0%,70.0%
,17.,15501238 jacquin diz que comeria sobremesa de fogaca,1388,0.6%,1191,1.0%,85.8%
,18.,15501260 cor de caramelo de sabrina incomoda aritana,1368,0.6%,1203,1.1%,87.9%
,19.,15500174 transexual engana encoxadores no metro de sp,1324,0.6%,907,0.8%,68.5%
,20.,15500215 top five bebado e preso e fica com medo de apanhar da propria mae,1318,0.6%,466,0.4%,35.4%
,21.,15501445 jacquin critica preparo da comida do time azul,1190,0.5%,898,0.8%,75.5%
,22.,15499955 sherazade briga com onur apos sumico,1116,0.5%,762,0.7%,68.3%
,23.,15501204 raul arrisca mistura de sabores e agrada jurados,1116,0.5%,755,0.7%,67.7%
,24.,15501547 bom bocados,1094,0.5%,231,0.2%,21.1%
,25.,15499043 mendigata e mendigo buscam novas beldades no pego ou nao pego,1025,0.5%,539,0.5%,52.6%
,26.,15501239 aritana culpa iranete por derrota em primeira prova,960,0.4%,681,0.6%,70.9%
,27.,15499119 whatsapp deselegante causa briga entre casal,955,0.4%,638,0.6%,66.8%
,28.,"15502069 apos sumico de onur, sherazade o ignora",832,0.4%,618,0.5%,74.3%
,29.,15500361 confira o cultivo de um cafe de alta qualidade em mg,820,0.4%,229,0.2%,27.9%
,30.,15501240 jacquin critica ideia de izabel comecou mal,807,0.4%,648,0.6%,80.3%
,31.,15499102 gugu na minha cela tenta averiguar o escandalo da fifa,802,0.4%,239,0.2%,29.8%
,32.,14622369 parte 6   mariana se assusta em gravacao de kid bengala,747,0.3%,84,0.1%,11.2%
,33.,15499164 panico visita fazenda macabra e assusta baianinha,719,0.3%,268,0.2%,37.3%
,34.,15500209 juliano dip flagra desrespeito com vagas de estacionamento especiais,718,0.3%,497,0.4%,69.2%
,35.,15494103 1  caixa misteriosa eliminatoria,708,0.3%,374,0.3%,52.8%
,36.,15499931 onur se irrita com assedio de yasemin,705,0.3%,546,0.5%,77.4%
,37.,15500355 professor dinho santana revela o segredo do pastel de feira,705,0.3%,99,0.1%,14.0%
,38.,15501304 jacquin critica apresentacao do prato de izabel,673,0.3%,574,0.5%,85.3%
,39.,15494130 5  prova do ovo beneditino,659,0.3%,255,0.2%,38.7%
,40.,15501254 raul compara experiencia com doces a subir o everest,648,0.3%,578,0.5%,89.2%
,41.,15500182 cqc confere o que deputado recebe em seus grupos no celular,609,0.3%,275,0.2%,45.2%
,42.,15494092 2  avaliacao da caixa misteriosa,596,0.3%,284,0.3%,47.7%
,43.,15501547 bombocado,567,0.3%,95,0.1%,16.8%
,44.,15499079 participantes do eletrocutados cantam partes do corpo humano,564,0.3%,397,0.3%,70.4%
,45.,15499080 agnaldo te mostro show continua tentando desvendar o sexo dos convidados,558,0.3%,339,0.3%,60.8%
