Ranking por autor by Ranking geral ,,Video Start,,Videos Completos,,Taxa de videos completos
1.,qcji1ffyt7fw band entretenimento,69380,,32545,,46.9%
,1.,15503769 ntegra capitulo 81  11/06/2015,7931,11.4%,3555,10.9%,44.8%
,2.,15501433 1   prova da forca aerea,2506,3.6%,950,2.9%,37.9%
,3.,15501442 3   prova do chocolate,2204,3.2%,1206,3.7%,54.7%
,4.,15501220 4  avaliacao da prova do chocolate,2108,3.0%,1125,3.5%,53.4%
,5.,15502562 ntegra capitulo 80  10/06/2015,1900,2.7%,848,2.6%,44.6%
,6.,15501452 2  avaliacao da prova da forca aerea,1465,2.1%,1124,3.5%,76.7%
,7.,15502529 anneke weerts faz ensaio picante na frica do sul,1196,1.7%,694,2.1%,58.0%
,8.,15500174 transexual engana encoxadores no metro de sp,1143,1.6%,735,2.3%,64.3%
,9.,15500203 cqc vai atras de homem que ofendeu haitianos em video na internet,1027,1.5%,451,1.4%,43.9%
,10.,15499067 christian pior leva as panicats para a parada gay,871,1.3%,312,1.0%,35.8%
,11.,15503901 bolo de santo antonio,851,1.2%,213,0.7%,25.0%
,12.,15060170 andre bankoff prepara um delicioso creme de cenoura,761,1.1%,55,0.2%,7.2%
,13.,15502876 festival de esfihas,747,1.1%,261,0.8%,34.9%
,14.,15502850 pudim de cafe com chocolate,709,1.0%,214,0.7%,30.2%
,15.,14622369 parte 6   mariana se assusta em gravacao de kid bengala,684,1.0%,84,0.3%,12.3%
,16.,15501434 rodrigo faz prova ruim e e eliminado do programa,626,0.9%,291,0.9%,46.5%
,17.,15500244 ntegra capitulo 79  09/06/2015,609,0.9%,264,0.8%,43.3%
,18.,15499119 whatsapp deselegante causa briga entre casal,593,0.9%,389,1.2%,65.6%
,19.,15499043 mendigata e mendigo buscam novas beldades no pego ou nao pego,555,0.8%,265,0.8%,47.7%
,20.,15494110 4  avaliacao da prova do frango depenado,542,0.8%,120,0.4%,22.1%
,21.,15403897 francine grava porno com kid bengala,540,0.8%,118,0.4%,21.9%
,22.,15499164 panico visita fazenda macabra e assusta baianinha,510,0.7%,162,0.5%,31.8%
,23.,15504432 sherazade pede tempo a onur,504,0.7%,419,1.3%,83.1%
,24.,15501464 equipe se distrai e queima todo arroz,499,0.7%,334,1.0%,66.9%
,25.,15500215 top five bebado e preso e fica com medo de apanhar da propria mae,492,0.7%,174,0.5%,35.4%
,26.,15465392 video resume gestacao humana em quatro minutos,383,0.6%,100,0.3%,26.1%
,27.,15503194 kerem e contido por onur ao cobrar explicacoes de seval sobre sua mae,368,0.5%,300,0.9%,81.5%
,28.,15500240 ntegra capitulo 78  08/06/2015,356,0.5%,121,0.4%,34.0%
,29.,15502864 cookies decorados para o dia dos namorados,343,0.5%,43,0.1%,12.5%
,30.,15503150 onur se propoe a ajudar yaman a ficar com o filho de yansel,340,0.5%,305,0.9%,89.7%
,31.,15504463 onur e yasemin brigam em bar,333,0.5%,292,0.9%,87.7%
,32.,15503196 feride revela que sabia segredo de seval,328,0.5%,277,0.9%,84.5%
,33.,15503193 kerem descobre que nao e filho de seval,325,0.5%,250,0.8%,76.9%
,34.,15504428 arzu se desentende com sua irma ahu,322,0.5%,204,0.6%,63.4%
,35.,"15504153 datena, neto, denilson e renata fan celebram o amor no dia dos namorados",314,0.5%,153,0.5%,48.7%
,36.,15499136 lucas selfie vence o game of compras,301,0.4%,211,0.6%,70.1%
,37.,15499079 participantes do eletrocutados cantam partes do corpo humano,299,0.4%,209,0.6%,69.9%
,38.,15503148 kerem marca exame para saber se tem talassemia,294,0.4%,226,0.7%,76.9%
,39.,15499080 agnaldo te mostro show continua tentando desvendar o sexo dos convidados,285,0.4%,167,0.5%,58.6%
,40.,15499112 tiririca cozinha risoto ao dente no masterjegue,271,0.4%,170,0.5%,62.7%
,41.,15504460 seval se explica para kerem,269,0.4%,232,0.7%,86.2%
,42.,15136885 poderoso castiga conversa com angela bismarchi,263,0.4%,22,0.1%,8.4%
,43.,15499085 as coisas gozada do sem dente retrata situacoes de violencia em sp,255,0.4%,120,0.4%,47.1%
,44.,15503915 jantar de dia dos namorados,248,0.4%,52,0.2%,21.0%
,45.,15494130 5  prova do ovo beneditino,237,0.3%,113,0.3%,47.7%
,46.,15494103 1  caixa misteriosa eliminatoria,229,0.3%,142,0.4%,62.0%
,47.,"15499075 denilson, yudi e neto lx participam do apagao",228,0.3%,133,0.4%,58.3%
,48.,15503906 casais chefs unidos pela gastronomia,226,0.3%,79,0.2%,35.0%
,49.,15499062 locutor anonimo ataca novamente,218,0.3%,141,0.4%,64.7%
,50.,15497563 ntegra capitulo 77  06/06/2015,216,0.3%,85,0.3%,39.4%
,51.,15358426 veterinarios adotam bebe orangotango rejeitada pela mae,214,0.3%,183,0.6%,85.5%
,52.,15499053 panico na band cobre festa de antonio bandeiras,210,0.3%,87,0.3%,41.4%
,53.,15499102 gugu na minha cela tenta averiguar o escandalo da fifa,206,0.3%,102,0.3%,49.5%
,54.,15499059 k game show desafia conhecimento dos competidores,204,0.3%,140,0.4%,68.6%
,55.,15504551 garotinha dancando como aretha franklin viraliza,199,0.3%,86,0.3%,43.2%
,56.,15402717 ntegra capitulo 2   10/03/2015,199,0.3%,35,0.1%,17.6%
,57.,15494119 3  prova do frango depenado,198,0.3%,120,0.4%,60.6%
,58.,15494092 2  avaliacao da caixa misteriosa,193,0.3%,105,0.3%,54.4%
,59.,15499071 caipiroto trolla criancinhas em parque,186,0.3%,158,0.5%,84.9%
,60.,15401517 ntegra capitulo 1   09/03/2015,184,0.3%,50,0.2%,27.2%
,61.,15500216 internautas condenam polemica propaganda de perfume,180,0.3%,125,0.4%,69.4%
,62.,15504461 ahu se insinua para ali kemal,174,0.3%,155,0.5%,89.1%
