Ranking por autor by Ranking geral ,,Video Start,,Videos Completos,,Taxa de videos completos
1.,qcji1ffyt7fw band entretenimento,99028,,45172,,45.6%
,1.,15492918 olho por olho se vinga de encoxadores do metro,9399,9.5%,4670,10.3%,49.7%
,2.,15492991 ntegra capitulo 72  01/06/2015,8330,8.4%,3028,6.7%,36.4%
,3.,15492951 top five caio fabio rebatiza cruzada de pernas de sharon stone,4453,4.5%,1505,3.3%,33.8%
,4.,15492905 gregorio duvivier conta ter tido affair com amiga de suzane von richthofen,2357,2.4%,647,1.4%,27.5%
,5.,15491712 igreja preferida dos pecadores volta as telas com a banheira do poderoso,2017,2.0%,771,1.7%,38.2%
,6.,15489702 veja a abertura da nova temporada de masterchef brasil,1991,2.0%,1519,3.4%,76.3%
,7.,15465392 video resume gestacao humana em quatro minutos,1898,1.9%,575,1.3%,30.3%
,8.,15491697 bolinha forja propria morte ao lado de bola e trolla as panicats,1645,1.7%,697,1.5%,42.4%
,9.,15492924 teste de honestidade compra medicamento proibido sem receita medica,1621,1.6%,988,2.2%,61.0%
,10.,15491739 daniel zukerman visita o hotel mais macabro do mundo,1396,1.4%,631,1.4%,45.2%
,11.,15491655 mendigo e mendigata analisam as gostosas no pego ou nao pego,1363,1.4%,774,1.7%,56.8%
,12.,15491747 carol dias entra no velho oeste e arrasa no panicats show,1354,1.4%,391,0.9%,28.9%
,13.,15490063 ntegra capitulo 71  30/05/2015,1329,1.3%,493,1.1%,37.1%
,14.,15492939 cqc faz bombados usarem a forca para amassar latinhas,1259,1.3%,745,1.6%,59.2%
,15.,15491744 aline mineiro danca varios estilos e levanta plateia no panicats show,1205,1.2%,524,1.2%,43.5%
,16.,15346967 video mostra que e possivel levar quatro pessoas em uma moto,1151,1.2%,678,1.5%,58.9%
,17.,15491671 eletrocutados humoristas improvisam no canto para nao tomarem choques,996,1.0%,608,1.3%,61.0%
,18.,15486209 3  prova,940,0.9%,443,1.0%,47.1%
,19.,15492953 palavras cruzadas cqc prass x neto,930,0.9%,833,1.8%,89.6%
,20.,15486188 1  audicoes,875,0.9%,298,0.7%,34.1%
,21.,15486222 4  avaliacoes,825,0.8%,422,0.9%,51.2%
,22.,15491748 aline mineiro vence o panicats show,814,0.8%,263,0.6%,32.3%
,23.,15491669 apagao gui santana volta ao quadro para mostrar sua falta de coragem,807,0.8%,366,0.8%,45.4%
,24.,15491674 agnaldo te mostro show humoristas decidem se crianca e menino ou menina,806,0.8%,439,1.0%,54.5%
,25.,15492904 exterminador de conviccoes testa opinioes sobre a legalizacao da maconha,801,0.8%,310,0.7%,38.7%
,26.,15493153 cupim braseado,791,0.8%,138,0.3%,17.4%
,27.,15490056 ntegra capitulo 70  29/05/2015,787,0.8%,266,0.6%,33.8%
,28.,14622369 parte 6   mariana se assusta em gravacao de kid bengala,782,0.8%,92,0.2%,11.8%
,29.,15491701 masterjegue tiririca prepara `furto do mar com caranguejos,760,0.8%,438,1.0%,57.6%
,30.,15493479 onur se deita com sherazade,734,0.7%,678,1.5%,92.4%
,31.,15486200 2  audicoes,694,0.7%,280,0.6%,40.3%
,32.,15491714 walter negao lanca nova novela parodia no panico na band,691,0.7%,292,0.6%,42.3%
,33.,15492909 lucas salles finge link ao vivo e trolla famosos,685,0.7%,332,0.7%,48.5%
,34.,15493408 yale e sherazade tentam fugir juntas de erdal,630,0.6%,512,1.1%,81.3%
,35.,15493403 erdal mata yale por acidente,606,0.6%,518,1.1%,85.5%
,36.,15492429 yale ajuda sherazade a fugir de cativeiro,605,0.6%,479,1.1%,79.2%
,37.,"15487478 denise fraga vivemos um momento de coisas esquisitas, de intolerancia",602,0.6%,153,0.3%,25.4%
,38.,15493406 sherazade consegue ajuda para fugir,588,0.6%,523,1.2%,88.9%
,39.,15492954 internautas pedem filmes de frota em metro para desencorajar encoxadores,583,0.6%,475,1.1%,81.5%
,40.,15491717 panico reune coletanea de piadas de tiozao de gui santana,548,0.6%,438,1.0%,79.9%
,41.,15403897 francine grava porno com kid bengala,514,0.5%,105,0.2%,20.4%
,42.,15493103 panforte,495,0.5%,78,0.2%,15.8%
,43.,15491715 aprendiz de impostor tenta fazer snapchat com arnold schwarzenegger,466,0.5%,204,0.5%,43.8%
,44.,15492397 erdal negocia libertacao de sherazade com onur,437,0.4%,326,0.7%,74.6%
,45.,15488762 ntegra capitulo 69  28/05/2015,399,0.4%,121,0.3%,30.3%
,46.,15491681 quem vence a corrida entre um kart e um carrinho de controle remoto?,396,0.4%,220,0.5%,55.6%
,47.,15492383 sherazade e sequestrada em estacionamento de shopping,394,0.4%,256,0.6%,65.0%
,48.,15492065 pave crocante de achocolatado,343,0.3%,104,0.2%,30.3%
,49.,15492942 bastidores rafael cortez exibe os seus musculos no cqc,338,0.3%,187,0.4%,55.3%
,50.,15251575 aranha enorme se prepara para comer lagarto,326,0.3%,243,0.5%,74.5%
,51.,15485851 proteste ja mostra descaso com escolas em pernambuco,304,0.3%,112,0.2%,36.8%
,52.,15493480 yaman se reconcilia com o pai,299,0.3%,259,0.6%,86.6%
,53.,15491743 veja como carol e aline se prepararam para arrasar no panicats show,293,0.3%,122,0.3%,41.6%
,54.,15487606 beth beltrao faz o biscoito de polvilho mais famoso de mg,287,0.3%,115,0.3%,40.1%
,55.,15487504 ntegra capitulo 68  27/05/2015,285,0.3%,103,0.2%,36.1%
,56.,15492424 sherazade e levada para cativeiro,266,0.3%,215,0.5%,80.8%
,57.,15483879 aline beija fiel e brinca na banheira do poderoso,265,0.3%,117,0.3%,44.2%
,58.,15492926 rafa cortez traduz fala de dan stulbach para internauta,258,0.3%,201,0.4%,77.9%
,59.,15492349 fusun termina caso com seu amante,244,0.2%,166,0.4%,68.0%
,60.,15492338 cem pressiona bennu a se decidir sobre relacionamento,242,0.2%,159,0.4%,65.7%
,61.,15493121 nhoque verde,239,0.2%,79,0.2%,33.1%
,62.,15486224 jacquin avalia os quatro ultimos participantes,229,0.2%,106,0.2%,46.3%
,63.,15037562 homem mostra habilidade com a boca,222,0.2%,166,0.4%,74.8%
,64.,15486215 candidato impressiona paola e vai direto a proxima fase,220,0.2%,136,0.3%,61.8%
,65.,15486332 ntegra capitulo 67  26/05/2015,201,0.2%,66,0.1%,32.8%
,66.,15486228 jacquin diz que prato de candidato lhe lembrou um dentista,200,0.2%,147,0.3%,73.5%
,67.,15409464 ntegra capitulo 7   16/03/2015,189,0.2%,71,0.2%,37.6%
,68.,15477709 ntegra capitulo 61   19/05/2015,183,0.2%,49,0.1%,26.8%
,69.,15483843 mendigo e mendigata procuram gostosas no rio de janeiro,181,0.2%,65,0.1%,35.9%
,70.,15485045 ntegra capitulo 66  25/05/2015,178,0.2%,61,0.1%,34.3%
,71.,15402717 ntegra capitulo 2   10/03/2015,169,0.2%,41,0.1%,24.3%
,72.,15486164 candidata recebe nao e tenta convencer jurados a mudarem voto,168,0.2%,94,0.2%,56.0%
,73.,15403917 diretor de marketing do brasileirinhas lanca campanha no aet,166,0.2%,72,0.2%,43.4%
,74.,15412776 ntegra capitulo 10   19/03/2015,163,0.2%,52,0.1%,31.9%
,75.,15425510 cabra da a luz cabrito com rosto humano,160,0.2%,99,0.2%,61.9%
,76.,15401517 ntegra capitulo 1   09/03/2015,153,0.2%,48,0.1%,31.4%
,77.,"15480588 confira, na integra, o show especial da cantora lais",152,0.2%,16,0.0%,10.5%
,78.,15486211 cassia nao segura a emocao apos ouvir sua avaliacao,150,0.2%,110,0.2%,73.3%
,79.,15482580 ntegra capitulo 65   23/05/2015,146,0.1%,52,0.1%,35.6%
,80.,15485011 top five silvio santos faz pergunta indiscreta para travesti,143,0.1%,53,0.1%,37.1%
,81.,15483890 carol dias faz coreografia vendada no panicats show,141,0.1%,47,0.1%,33.3%
,82.,15494103 1   caixa misteriosa eliminatoria,141,0.1%,35,0.1%,24.8%
,83.,15489988 joao doria jr. entrevista amos genish  parte1,140,0.1%,56,0.1%,40.0%
,84.,15481233 ntegra capitulo 63   21/05/2015,138,0.1%,42,0.1%,30.4%
,85.,15406483 ntegra capitulo 6   14/03/2015,138,0.1%,40,0.1%,29.0%
,86.,15491833 polenta com ragu de 7 carnes,136,0.1%,43,0.1%,31.6%
,87.,15488835 pao de mel,136,0.1%,26,0.1%,19.1%
,88.,15410758 ntegra capitulo 8   17/03/2015,135,0.1%,37,0.1%,27.4%
,89.,15491831 beirute light e beirute de rosbife,135,0.1%,36,0.1%,26.7%
,90.,15493141 dinho santana explica tudo sobre o acucar,135,0.1%,28,0.1%,20.7%
,91.,15482576 ntegra capitulo 64   22/05/2015,134,0.1%,43,0.1%,32.1%
,92.,15414785 ntegra capitulo 12   21/03/2015,134,0.1%,29,0.1%,21.6%
,93.,15484209 kifes,133,0.1%,36,0.1%,27.1%
,94.,15486230 candidata pede para apertar bochecha de jacquin,128,0.1%,102,0.2%,79.7%
,95.,15406474 ntegra capitulo 5   13/03/2015,122,0.1%,47,0.1%,38.5%
,96.,15405552 ntegra capitulo 4   12/03/2015,122,0.1%,40,0.1%,32.8%
,97.,15480115 ntegra capitulo 62   20/05/2015,120,0.1%,44,0.1%,36.7%
,98.,15490088 1  audicoes,118,0.1%,36,0.1%,30.5%
,99.,15486147 chinesa jiang contraria a familia para participar do masterchef,117,0.1%,76,0.2%,65.0%
