Ranking por autor by Ranking geral ,,Video Start,,Videos Completos,,Taxa de videos completos
1.,qcji1ffyt7fw band entretenimento,70028,,34708,,49.6%
,1.,15489702 veja a abertura da nova temporada de masterchef brasil,6165,8.8%,4684,13.5%,76.0%
,2.,15487606 beth beltrao faz o biscoito de polvilho mais famoso de mg,3689,5.3%,1239,3.6%,33.6%
,3.,15490056 ntegra capitulo 70  29/05/2015,2899,4.1%,1156,3.3%,39.9%
,4.,15488762 ntegra capitulo 69  28/05/2015,2535,3.6%,758,2.2%,29.9%
,5.,15486209 3  prova,1464,2.1%,725,2.1%,49.5%
,6.,15490063 ntegra capitulo 71  30/05/2015,1405,2.0%,436,1.3%,31.0%
,7.,15486222 4  avaliacoes,1170,1.7%,671,1.9%,57.4%
,8.,15486188 1  audicoes,1152,1.6%,459,1.3%,39.8%
,9.,15486200 2  audicoes,1021,1.5%,506,1.5%,49.6%
,10.,15489168 fusun beija o professor de sua filha,987,1.4%,724,2.1%,73.4%
,11.,15489185 sherazade pede desculpas a burhan,926,1.3%,782,2.3%,84.4%
,12.,14622369 parte 6   mariana se assusta em gravacao de kid bengala,855,1.2%,95,0.3%,11.1%
,13.,15488858 cuscuz a paulista,812,1.2%,322,0.9%,39.7%
,14.,15487504 ntegra capitulo 68  27/05/2015,796,1.1%,339,1.0%,42.6%
,15.,15465392 video resume gestacao humana em quatro minutos,779,1.1%,183,0.5%,23.5%
,16.,15489204 burak e melek sofrem acidente de carro,762,1.1%,653,1.9%,85.7%
,17.,14408055 daniel bork ensina a preparar biscoito de polvilho,659,0.9%,254,0.7%,38.5%
,18.,15489180 sherazade da bronca pesada em gani,645,0.9%,557,1.6%,86.4%
,19.,15489945 1  brisbane,645,0.9%,395,1.1%,61.2%
,20.,15483843 mendigo e mendigata procuram gostosas no rio de janeiro,642,0.9%,249,0.7%,38.8%
,21.,15243500 biscoito de polvilho azedo,615,0.9%,218,0.6%,35.4%
,22.,15489948 2  brisbane,557,0.8%,374,1.1%,67.1%
,23.,15403897 francine grava porno com kid bengala,521,0.7%,112,0.3%,21.5%
,24.,15489186 cem pede a bennu que nao volte para casa,489,0.7%,418,1.2%,85.5%
,25.,15489192 ali kemal leva buket para aula de pintura,466,0.7%,442,1.3%,94.8%
,26.,15489951 4  brisbane,452,0.6%,351,1.0%,77.7%
,27.,15483879 aline beija fiel e brinca na banheira do poderoso,450,0.6%,232,0.7%,51.6%
,28.,15483883 agnaldos descobrem se e menino ou menina,439,0.6%,216,0.6%,49.2%
,29.,15489952 5  brisbane,429,0.6%,272,0.8%,63.4%
