Ranking por autor by Ranking geral ,,Video Start,,Videos Completos,,Taxa de videos completos
1.,qcji1ffyt7fw band entretenimento,145360,,61796,,42.5%
,1.,15494110 4  avaliacao da prova do frango depenado,25797,17.7%,2154,3.5%,8.3%
,2.,15499067 christian pior leva as panicats para a parada gay,8217,5.7%,3207,5.2%,39.0%
,3.,15499119 whatsapp deselegante causa briga entre casal,5599,3.9%,3833,6.2%,68.5%
,4.,15499043 mendigata e mendigo buscam novas beldades no pego ou nao pego,5465,3.8%,3020,4.9%,55.3%
,5.,15499112 tiririca cozinha risoto ao dente no masterjegue,5069,3.5%,2513,4.1%,49.6%
,6.,15497563 ntegra capitulo 77  06/06/2015,4917,3.4%,2578,4.2%,52.4%
,7.,15499164 panico visita fazenda macabra e assusta baianinha,4870,3.4%,1848,3.0%,37.9%
,8.,15499079 participantes do eletrocutados cantam partes do corpo humano,3969,2.7%,2822,4.6%,71.1%
,9.,15499102 gugu na minha cela tenta averiguar o escandalo da fifa,3586,2.5%,1373,2.2%,38.3%
,10.,"15499075 denilson, yudi e neto lx participam do apagao",3511,2.4%,2231,3.6%,63.5%
,11.,15499080 agnaldo te mostro show continua tentando desvendar o sexo dos convidados,3273,2.3%,1968,3.2%,60.1%
,12.,15499059 k game show desafia conhecimento dos competidores,2989,2.1%,2236,3.6%,74.8%
,13.,15499085 as coisas gozada do sem dente retrata situacoes de violencia em sp,2721,1.9%,1386,2.2%,50.9%
,14.,15499062 locutor anonimo ataca novamente,2695,1.9%,1875,3.0%,69.6%
,15.,15499136 lucas selfie vence o game of compras,2560,1.8%,1903,3.1%,74.3%
,16.,15499053 panico na band cobre festa de antonio bandeiras,2486,1.7%,1137,1.8%,45.7%
,17.,15499071 caipiroto trolla criancinhas em parque,2279,1.6%,1818,2.9%,79.8%
,18.,15499096 alfinete lidera mega operacao para cobrir a selecao brasileira,1941,1.3%,797,1.3%,41.1%
,19.,15495516 ntegra capitulo 76  05/06/2015,1873,1.3%,801,1.3%,42.8%
,20.,15499056 bola testa velocidade de carrinhos de controle remoto,1183,0.8%,634,1.0%,53.6%
,21.,15499128 patrick maia bota gordinhos para malhar,1097,0.8%,531,0.9%,48.4%
,22.,15494103 1  caixa misteriosa eliminatoria,971,0.7%,459,0.7%,47.3%
,23.,15495514 ntegra capitulo 75  04/06/2015,941,0.6%,360,0.6%,38.3%
,24.,15494130 5  prova do ovo beneditino,895,0.6%,409,0.7%,45.7%
,25.,15496837 frango especial,862,0.6%,201,0.3%,23.3%
,26.,14622369 parte 6   mariana se assusta em gravacao de kid bengala,812,0.6%,92,0.1%,11.3%
,27.,15494119 3  prova do frango depenado,788,0.5%,415,0.7%,52.7%
,28.,15491697 bolinha forja propria morte ao lado de bola e trolla as panicats,769,0.5%,249,0.4%,32.4%
,29.,15494092 2  avaliacao da caixa misteriosa,764,0.5%,375,0.6%,49.1%
,30.,15496833 cheesecake de ricota,632,0.4%,160,0.3%,25.3%
,31.,15496625 namorado com salsa de abacaxi,622,0.4%,91,0.1%,14.6%
,32.,15494290 ntegra capitulo 74  03/06/2015,568,0.4%,271,0.4%,47.7%
,33.,15499789 yasemin tenta beijar onur novamente,541,0.4%,447,0.7%,82.6%
,34.,15491655 mendigo e mendigata analisam as gostosas no pego ou nao pego,539,0.4%,203,0.3%,37.7%
,35.,15493681 homem levitando intriga moradores e turistas na belgica,525,0.4%,441,0.7%,84.0%
,36.,15491712 igreja preferida dos pecadores volta as telas com a banheira do poderoso,522,0.4%,157,0.3%,30.1%
,37.,15269296 astronautas colocam gopro dentro de bolha de sabao,502,0.3%,261,0.4%,52.0%
,38.,15403897 francine grava porno com kid bengala,497,0.3%,83,0.1%,16.7%
,39.,15499754 burhan expulsa gani de sua mansao,493,0.3%,371,0.6%,75.3%
,40.,15486230 candidata pede para apertar bochecha de jacquin,456,0.3%,362,0.6%,79.4%
,41.,15496860 tonkatsu,428,0.3%,111,0.2%,25.9%
,42.,"15494864 depois do balde de gelo, desafio agora e com formigas",414,0.3%,301,0.5%,72.7%
,43.,15494835 onur e sherazade fazem as pazes,391,0.3%,315,0.5%,80.6%
,44.,15465392 video resume gestacao humana em quatro minutos,388,0.3%,104,0.2%,26.8%
