Ranking por autor by Ranking geral ,,Video Start,,Videos Completos,,Taxa de videos completos
1.,qcji1ffyt7fw band entretenimento,76290,,35220,,46.2%
,1.,15494290 ntegra capitulo 74  03/06/2015,7302,9.6%,3723,10.6%,51.0%
,2.,15494110 4  avaliacao da prova do frango depenado,4539,5.9%,1731,4.9%,38.1%
,3.,15494103 1  caixa misteriosa eliminatoria,3559,4.7%,1925,5.5%,54.1%
,4.,15494130 5  prova do ovo beneditino,3510,4.6%,1991,5.7%,56.7%
,5.,15494119 3  prova do frango depenado,3141,4.1%,1851,5.3%,58.9%
,6.,15494092 2  avaliacao da caixa misteriosa,2861,3.8%,1700,4.8%,59.4%
,7.,15494282 ntegra capitulo 73  02/06/2015,1898,2.5%,751,2.1%,39.6%
,8.,15495514 ntegra capitulo 75  04/06/2015,1664,2.2%,551,1.6%,33.1%
,9.,15491697 bolinha forja propria morte ao lado de bola e trolla as panicats,1417,1.9%,469,1.3%,33.1%
,10.,15495606 bolo do dia dos namorados,856,1.1%,119,0.3%,13.9%
,11.,14622369 parte 6   mariana se assusta em gravacao de kid bengala,765,1.0%,99,0.3%,12.9%
,12.,15491712 igreja preferida dos pecadores volta as telas com a banheira do poderoso,740,1.0%,275,0.8%,37.2%
,13.,15492991 ntegra capitulo 72  01/06/2015,704,0.9%,291,0.8%,41.3%
,14.,15491747 carol dias entra no velho oeste e arrasa no panicats show,658,0.9%,169,0.5%,25.7%
,15.,15492904 exterminador de conviccoes testa opinioes sobre a legalizacao da maconha,645,0.8%,216,0.6%,33.5%
,16.,15493593 yansel morre apos desmaio misterioso,595,0.8%,354,1.0%,59.5%
,17.,15465392 video resume gestacao humana em quatro minutos,568,0.7%,140,0.4%,24.6%
,18.,15492918 olho por olho se vinga de encoxadores do metro,510,0.7%,272,0.8%,53.3%
,19.,15494258 visual do prato define terceira eliminada do dia,506,0.7%,167,0.5%,33.0%
,20.,15491655 mendigo e mendigata analisam as gostosas no pego ou nao pego,501,0.7%,286,0.8%,57.1%
,21.,15495602 bolo floresta negra no copo,499,0.7%,115,0.3%,23.0%
,22.,15403897 francine grava porno com kid bengala,485,0.6%,81,0.2%,16.7%
,23.,15492924 teste de honestidade compra medicamento proibido sem receita medica,472,0.6%,313,0.9%,66.3%
,24.,15491744 aline mineiro danca varios estilos e levanta plateia no panicats show,448,0.6%,179,0.5%,40.0%
,25.,15494380 mousse de palmito,448,0.6%,100,0.3%,22.3%
,26.,15491739 daniel zukerman visita o hotel mais macabro do mundo,399,0.5%,188,0.5%,47.1%
,27.,15493627 fusun ironiza ali kemal e diz que esteve com amante,394,0.5%,299,0.8%,75.9%
,28.,15491671 eletrocutados humoristas improvisam no canto para nao tomarem choques,385,0.5%,240,0.7%,62.3%
,29.,15493630 kerem e bennu se casam,369,0.5%,259,0.7%,70.2%
,30.,15490088 1  audicoes,368,0.5%,176,0.5%,47.8%
,31.,"15480588 confira, na integra, o show especial da cantora lais",367,0.5%,27,0.1%,7.4%
,32.,15490063 ntegra capitulo 71  30/05/2015,362,0.5%,117,0.3%,32.3%
,33.,15492951 top five caio fabio rebatiza cruzada de pernas de sharon stone,345,0.5%,141,0.4%,40.9%
,34.,15491748 aline mineiro vence o panicats show,344,0.5%,112,0.3%,32.6%
,35.,15492905 gregorio duvivier conta ter tido affair com amiga de suzane von richthofen,334,0.4%,128,0.4%,38.3%
,36.,15486188 1  audicoes,333,0.4%,145,0.4%,43.5%
,37.,15492993 os simuladores mostra golpe em concessionaria,331,0.4%,166,0.5%,50.2%
,38.,15486209 3  prova,330,0.4%,202,0.6%,61.2%
,39.,15493479 onur se deita com sherazade,296,0.4%,250,0.7%,84.5%
,40.,15494176 eliminacao de candidata emociona participantes,294,0.4%,105,0.3%,35.7%
,41.,15486222 4  avaliacoes,291,0.4%,187,0.5%,64.3%
,42.,15491701 masterjegue tiririca prepara `furto do mar com caranguejos,278,0.4%,138,0.4%,49.6%
,43.,15491674 agnaldo te mostro show humoristas decidem se crianca e menino ou menina,275,0.4%,157,0.4%,57.1%
,44.,15490092 2  audicoes,271,0.4%,144,0.4%,53.1%
