Ranking por autor by Ranking geral ,,Video Start,,Videos Completos,,Taxa de videos completos
1.,qcji1ffyt7fw band entretenimento,68425,,28995,,42.4%
,1.,15495514 ntegra capitulo 75  04/06/2015,8298,12.1%,3330,11.5%,40.1%
,2.,15494110 4  avaliacao da prova do frango depenado,2262,3.3%,815,2.8%,36.0%
,3.,15494130 5  prova do ovo beneditino,2242,3.3%,1076,3.7%,48.0%
,4.,15494290 ntegra capitulo 74  03/06/2015,2019,3.0%,1018,3.5%,50.4%
,5.,15494103 1  caixa misteriosa eliminatoria,1831,2.7%,980,3.4%,53.5%
,6.,15496616 bolachinhas de nata,1591,2.3%,456,1.6%,28.7%
,7.,15494119 3  prova do frango depenado,1578,2.3%,946,3.3%,59.9%
,8.,15492926 rafa cortez traduz fala de dan stulbach para internauta,1519,2.2%,963,3.3%,63.4%
,9.,15494092 2  avaliacao da caixa misteriosa,1488,2.2%,831,2.9%,55.8%
,10.,15491697 bolinha forja propria morte ao lado de bola e trolla as panicats,1465,2.1%,437,1.5%,29.8%
,11.,15495516 ntegra capitulo 76  05/06/2015,1339,2.0%,467,1.6%,34.9%
,12.,"15480588 confira, na integra, o show especial da cantora lais",1141,1.7%,73,0.3%,6.4%
,13.,14622369 parte 6   mariana se assusta em gravacao de kid bengala,861,1.3%,96,0.3%,11.1%
,14.,15494282 ntegra capitulo 73  02/06/2015,844,1.2%,277,1.0%,32.8%
,15.,15491712 igreja preferida dos pecadores volta as telas com a banheira do poderoso,815,1.2%,279,1.0%,34.2%
,16.,15491747 carol dias entra no velho oeste e arrasa no panicats show,772,1.1%,157,0.5%,20.3%
,17.,15496621 festival de pizzas,589,0.9%,126,0.4%,21.4%
,18.,15494644 yasemin tenta conquistar onur mais uma vez,586,0.9%,373,1.3%,63.7%
,19.,15465392 video resume gestacao humana em quatro minutos,569,0.8%,157,0.5%,27.6%
,20.,15403897 francine grava porno com kid bengala,568,0.8%,127,0.4%,22.4%
,21.,15484997 mauricio meirelles tenta resolver guerra entre kens humanos,506,0.7%,204,0.7%,40.3%
,22.,15491655 mendigo e mendigata analisam as gostosas no pego ou nao pego,504,0.7%,269,0.9%,53.4%
,23.,15491744 aline mineiro danca varios estilos e levanta plateia no panicats show,465,0.7%,181,0.6%,38.9%
,24.,15494642 nadide surpreende fusun na casa de selim,438,0.6%,305,1.1%,69.6%
,25.,15495606 bolo do dia dos namorados,424,0.6%,52,0.2%,12.3%
,26.,15491748 aline mineiro vence o panicats show,398,0.6%,114,0.4%,28.6%
,27.,15492991 ntegra capitulo 72  01/06/2015,396,0.6%,167,0.6%,42.2%
,28.,15491671 eletrocutados humoristas improvisam no canto para nao tomarem choques,380,0.6%,220,0.8%,57.9%
,29.,15492993 os simuladores mostra golpe em concessionaria,350,0.5%,145,0.5%,41.4%
